Query2,24.462
Query3 RDD,25.818
Query5,14.634
Query1,27.322
Query3 SQL,11.798
Query4,14.668
Query2,25.906
Query3 RDD,26.71
Query5,14.779
Query1,26.198
Query3 SQL,12.386
Query4,15.068
Query1,27.249
Query3 SQL,13.835
Query4,14.898
Query2,25.844
Query3 RDD,27.903
Query5,14.856
Query2,25.997
Query3 RDD,28.956
Query5,14.706
Query1,26.659
Query3 SQL,12.311
Query4,15.022
Query1,25.415
Query3 SQL,12.559
Query4,14.691
Query2,28.842
Query3 RDD,26.198
Query5,15.578
Query1,28.456
Query3 SQL,12.552
Query4,14.63
Query2,25.585
Query3 RDD,26.486
Query5,15.25
Query2,24.732
Query3 RDD,27.51
Query5,15.79
Query1,25.948
Query3 SQL,12.662
Query4,15.002
Query1,27.875
Query3 SQL,12.358
Query4,14.999
Query2,24.408
Query3 RDD,26.223
Query5,15.447
Query2,25.518
Query3 RDD,25.779
Query5,15.266
Query1,26.884
Query3 SQL,12.532
Query4,15.27
